ocnt_batch,enzyme,n,n_zero,pattern
OCNT-0456810-AA-001,CYP2J2,4,0,none
OCNT-0456810-AA-001,CYP3A4,4,0,none
OCNT-0456811-AA-001,CYP2J2,4,0,none
OCNT-0456811-AA-001,CYP3A4,4,0,none
OCNT-0456812-AA-001,CYP2J2,4,0,none
OCNT-0456812-AA-001,CYP3A4,4,0,none
OCNT-0456813-AA-001,CYP2J2,4,0,none
OCNT-0456813-AA-001,CYP3A4,4,3,partial
OCNT-0456815-AA-001,CYP2J2,4,0,none
OCNT-0456815-AA-001,CYP3A4,4,0,none
OCNT-0456864-AA-001,CYP2J2,4,0,none
OCNT-0456864-AA-001,CYP3A4,4,0,none
OCNT-0456866-AA-001,CYP2J2,4,0,none
OCNT-0456866-AA-001,CYP3A4,4,0,none
OCNT-0456890-AA-001,CYP2J2,4,0,none
OCNT-0456890-AA-001,CYP3A4,4,0,none
OCNT-0456894-AA-001,CYP2J2,4,0,none
OCNT-0456894-AA-001,CYP3A4,4,0,none
OCNT-0456896-AA-001,CYP2J2,4,0,none
OCNT-0456896-AA-001,CYP3A4,3,3,full
OCNT-0456898-AA-001,CYP2J2,4,0,none
OCNT-0456898-AA-001,CYP3A4,4,0,none
OCNT-0456952-AA-001,CYP2J2,4,0,none
OCNT-0456952-AA-001,CYP3A4,4,0,none
OCNT-0456954-AA-001,CYP2J2,4,0,none
OCNT-0456954-AA-001,CYP3A4,4,0,none
OCNT-0456958-AA-001,CYP2J2,4,0,none
OCNT-0456958-AA-001,CYP3A4,4,0,none
OCNT-0456960-AA-001,CYP2J2,4,0,none
OCNT-0456960-AA-001,CYP3A4,3,0,none
OCNT-0456962-AA-001,CYP2J2,4,0,none
OCNT-0456962-AA-001,CYP3A4,4,0,none
OCNT-0456964-AA-001,CYP2J2,4,0,none
OCNT-0456964-AA-001,CYP3A4,4,0,none
OCNT-0456976-AA-001,CYP2J2,4,0,none
OCNT-0456976-AA-001,CYP3A4,4,0,none
OCNT-0456978-AA-001,CYP2J2,4,0,none
OCNT-0456978-AA-001,CYP3A4,4,0,none
OCNT-0456984-AA-001,CYP2J2,4,0,none
OCNT-0456984-AA-001,CYP3A4,4,0,none
OCNT-0456986-AA-001,CYP2J2,4,0,none
OCNT-0456986-AA-001,CYP3A4,4,0,none
OCNT-0456988-AA-001,CYP2J2,4,0,none
OCNT-0456988-AA-001,CYP3A4,4,0,none
OCNT-0456990-AA-001,CYP2J2,4,0,none
OCNT-0456990-AA-001,CYP3A4,4,0,none
OCNT-0457008-AA-001,CYP2J2,4,0,none
OCNT-0457008-AA-001,CYP3A4,4,2,partial
OCNT-0457012-AA-001,CYP2J2,4,0,none
OCNT-0457012-AA-001,CYP3A4,4,0,none
OCNT-0457040-AA-001,CYP2J2,4,0,none
OCNT-0457040-AA-001,CYP3A4,4,0,none
OCNT-0457042-AA-001,CYP2J2,4,0,none
OCNT-0457042-AA-001,CYP3A4,4,4,full
OCNT-0457077-AA-001,CYP2J2,4,0,none
OCNT-0457077-AA-001,CYP3A4,4,0,none
OCNT-0457081-AA-001,CYP2J2,4,0,none
OCNT-0457081-AA-001,CYP3A4,4,4,full
OCNT-0457204-AA-001,CYP2J2,4,0,none
OCNT-0457204-AA-001,CYP3A4,4,0,none
OCNT-0457236-AA-001,CYP2J2,4,0,none
OCNT-0457236-AA-001,CYP3A4,4,0,none
OCNT-0457347-AA-001,CYP2J2,4,0,none
OCNT-0457347-AA-001,CYP3A4,4,4,full
OCNT-0457413-AA-001,CYP2J2,4,0,none
OCNT-0457413-AA-001,CYP3A4,4,0,none
OCNT-0457419-AA-001,CYP2J2,4,0,none
OCNT-0457419-AA-001,CYP3A4,4,0,none
OCNT-0457420-AA-001,CYP2J2,4,0,none
OCNT-0457420-AA-001,CYP3A4,4,0,none
OCNT-0457422-AA-001,CYP2J2,4,0,none
OCNT-0457422-AA-001,CYP3A4,4,0,none
OCNT-0457426-AA-001,CYP2J2,4,0,none
OCNT-0457426-AA-001,CYP3A4,4,0,none
OCNT-0457465-AA-001,CYP2J2,4,0,none
