ocnt_batch,enzyme,mean,std,size,cv
OCNT-0455046-AA-001,CYP3A4,57220.625,3649.9796432080725,4,0.06378783250284444
OCNT-0455058-AA-001,CYP2J2,5071.333333333333,883.1214997571589,3,0.1741399039878715
OCNT-0455058-AA-001,CYP3A4,6121.0,1056.3199089291084,3,0.17257309409068916
OCNT-0455070-AA-001,CYP2J2,42769.5,2668.062124464121,4,0.06238235481976925
OCNT-0455070-AA-001,CYP3A4,69399.25,7923.476367731528,4,0.11417236306921945
OCNT-0455078-AA-001,CYP2J2,24040.5,1182.1079335943343,4,0.04917152029260349
OCNT-0455078-AA-001,CYP3A4,42540.5,5943.855251434039,3,0.13972227057589917
OCNT-0455082-AA-001,CYP2J2,29422.375,2020.5995964482095,4,0.0686756115523716
OCNT-0455082-AA-001,CYP3A4,41359.375,4010.3496184871456,4,0.09696349663134768
OCNT-0455084-AA-001,CYP2J2,27112.5,2826.522215255584,4,0.10425162619660983
OCNT-0455084-AA-001,CYP3A4,37906.875,3940.016653412351,4,0.10393936860826304
OCNT-0455086-AA-001,CYP2J2,47866.0,6615.215088465882,4,0.13820279715175451
OCNT-0455086-AA-001,CYP3A4,75790.625,10405.263991325097,4,0.13728959210093725
OCNT-0455088-AA-001,CYP2J2,16690.875,1683.7210465216617,4,0.10087673932742662
OCNT-0455088-AA-001,CYP3A4,35375.0,1420.013086794156,4,0.040141712700894866
OCNT-0455090-AA-001,CYP2J2,26466.5,2762.1613819615973,4,0.10436443738165595
OCNT-0455090-AA-001,CYP3A4,43883.0,4002.684370102977,4,0.09121264202773231
OCNT-0455094-AA-001,CYP2J2,82286.625,7476.460151424156,4,0.09085875318648876
OCNT-0455094-AA-001,CYP3A4,137256.25,5481.196607493661,4,0.03993404021670169
OCNT-0455100-AA-001,CYP2J2,49166.25,4247.834634650144,4,0.08639736881804376
OCNT-0455100-AA-001,CYP3A4,72040.5,2663.260626875762,4,0.03696893590238493
OCNT-0455102-AA-001,CYP2J2,15888.0,1037.5744953174851,4,0.06530554477073798
OCNT-0455102-AA-001,CYP3A4,24320.25,2531.2063164954902,4,0.10407813721057514
OCNT-0455112-AA-001,CYP2J2,139111.5,8317.773229657085,4,0.05979213242368233
